Job ID,Job Title,Company,Location,Work Mode,Salary,Easy Apply,Status,LinkedIn URL,Source,Date Found
PROFILE03,Vice President | Global Head of AI,Kyndryl,Newcastle/London UK,Not specified,Not listed,N/A,Profile,https://ae.linkedin.com/in/dr-shaun-barney-05895980,Profile - Dr Shaun Barney,2025-11-11
PROFILE04,Head of AI,Brabners,UK,Not specified,Not listed,N/A,Profile,https://uk.linkedin.com/in/rosiedjurovic,Profile - Rosie Djurovic,2025-11-11
PROFILE05,Head of AI Innovation,Bloomsbury Publishing,London UK,Not specified,Not listed,N/A,Profile,https://uk.linkedin.com/in/amac777,Profile - Adam MacVeigh,2025-11-11
PROFILE06,Head of AI,Newsquest,Brighton UK,Not specified,Not listed,N/A,Profile,https://uk.linkedin.com/in/jodydohertycove,Profile - Jody Doherty-Cove,2025-11-11

NOTES:
"Total jobs found: 37 unique roles with identifiable details"
"Sources: Tavily web search (advanced depth) + LinkedIn browser + Professional profiles"
"13 jobs with confirmed LinkedIn job URLs"
"24 jobs from search results (URLs to be verified)"
"6 professional profiles (current Head of AI title holders)"
"Salary data: Only 3 of 37 have salary information"
"LinkedIn browser automation had technical difficulties - used web search as primary source"
"Recommendation: These 37 jobs are a solid start - use Tavily to find more specific job URLs"
"Next step: Extract full descriptions for top 15-20 jobs to enable scoring"
"Date: 2025-11-11"
